30-Days-Of-React,54,93.1,6.3,8
500lines,1497,81.6,12.1,56
a1111-sd-webui-tagcomplete,12,85.7,5.5,20
absurd-sql,101,94.4,11.5,4
Administrative-divisions-of-China,18,85.7,8.6,7
adrenaline,27,100.0,4.9,7
aframe,5884,83.9,10.5,100
AgentVerse,2950,89.7,5.2,10
AI-Expert-Roadmap,1,100.0,6.8,9
algorithm-visualizer,29,96.7,8.5,24
aliyundriveDailyCheck,3,37.5,7.0,5
amazeui,1545,91.4,10.2,24
amphtml,6955,80.7,10.0,100
anime,968,88.4,10.3,43
AnotherRedisDesktopManager,13,86.7,7.0
27,undefined
anything-llm,31,79.5,10.3,15
aos,29,96.7,9.7,18
apexcharts.js,2310,86.5,7.9
100,undefined
atrilabs-engine,3663,78.0,3.8,18
audiobookshelf,1817,83.3,7.7,80
Auto-GPT,3599,63.8,7.5,100
automerge-classic,201,92.6,11.3,60
AutoPiano,391,85.4,9.0,1
ava,50,96.2,10.7,100
Awesome-Design-Tools,44,88.0,8.7
100,undefined
awesome-vscode,1,100.0,9.5,100
axios,735,85.8,9.8,100
backend-GPT,11,55.0,4.5,4
beautiful-react-hooks,47,92.2,8.2,48
BioDrop,101,80.8,3.2,100
BITB,33,100.0,4.5,2
bluebird,2010,92.2,12,100
BoostNote-Legacy,394,89.7,8.9,100
BrasilAPI,95,77.2,7.0,64
brave-browser,7,100.0,8.2,86
browser-fingerprinting,46,60.5,8.3,3
browser-sync,1312,86.1,11.4,88
bud,17,85.0,7.6,15
bypass-paywalls-chrome,17,77.3,9.3,51
carbon,178,86.8,8.8,100
carlo,31,79.5,10.2
20,undefined
chalk,2,33.3,11,56
chart.xkcd,8,100.0,8.4,15
charts,153,85.5,8.1,48
ChatALL,3,75.0,7.1,27
chatgpt-chrome-extension,2,100.0,6.7,6
chatGPTBox,3,42.9,6.2,20
chinese-independent-blogs,0,0.0,6.2,100
chinese-poetry,22,91.7,7.5,54
chinese-programmer-wrong-pronunciation,23,63.9,8.7,83
ChineseBQB,1079,84.7,5.8,22
ChromeAppHeroes,30620,83.4,8.7
3,undefined
Cider,6222,84.4,5.3,96
city-roads,65,90.3,13.0,1
Clash-for-Windows_Chinese,48,96.0,2.0,1
Clash_Chinese_Patch,246,88.5,5.3,3
classnames,26,100.0,10.8,41
cleave.js,28059,93.4,10.0,67
clipboard.js,88,90.7,10.8,53
cnn-explainer,62,74.7,8.0,5
core-js,1737,90.6,10,100
covid19india-react,31,83.8,8.1,100
create-react-app,137,77.8,11.0,100
CyberChef,16,94.1,9.1,100
cypress,1256,83.8,9.3,100
d2-admin,3373,84.7,8.2,18
dayjs,167,85.6,9.0,100
decap-cms,375,92.6,9.5,100
DeepLearning-500-questions,202,85.6,7.2,100
dev-sidecar,151,84.4,7.7,3
diffusionbee-stable-diffusion-ui,28,75.7,8.9,17
docsify,107,87.0,8.9,100
docs,273,77.3,7.5,100
dotenv,15,78.9,10,71
downshift,58,95.1,10.0,100
draft-js,65,90.3,11.3,100
draggable,89,92.7,9.3,43
dragula,315,94.0,11.0,32
drawio-desktop,0,0.0,9.7,12
drawio,52913,85.9,9.7,31
drei,614,49.4,8.5,100
duelyst,6273,86.1,7.2,10
dva,57,83.8,9.3,87
easydiffusion,706,85.0,7.8,40
EasySpider,3892,86.8,6.8,5
ecommerce_sanity_stripe,8826,94.6,6.0,1
edex-ui,865,90.3,7.2,58
egg,310,95.7,9.8,100
eleventy,164,91.6,10.3,81
EmbedAI,1,100.0,8.0,9
emotion,100,91.7,10.1,100
enzyme,82,92.1,10.4,100
eruda,80,84.2,8.8,16
es6tutorial,361,87.2,8.1,100
ethereumbook,26,96.3,8.8,100
evergreen,697,96.5,8.9,100
evil-huawei,1,100.0,6.2,10
Fakeflix,53,91.4,5.0,2
fastify,435,78.7,9.5,100
feather,2,20.0,8.2,42
fetch,58,95.1,11.6,69
flexsearch,433,90.0,9.0,27
floatui,13,100.0,4.3,6
flowy,72,96.0,8.0,5
flutter-in-action,701,85.0,7.9
100,undefined
flux,432,94.3,11.0,100
flv.js,17,68.0,10.0,14
framework7,750,87.4,10.1,100
fuite,415,92.6,9.3,3
fullPage.js,1205,82.5,10,100
Functional-Light-JS,37,75.5,9.7,30
gatsby,1702,87.9,10.2,100
genshin-wish-export,11142,85.9,6.5,24
git-history,70,92.1,9.2
17,undefined
gitbook,455,87.0,11.8,82
gitfolio,9,64.3,7.7,20
github-do-not-ban-us,17,85.0,7.8,100
github-profile-readme-generator,6,100.0,5.9,83
github-readme-stats,43,67.2,6.1,100
gluon,14,73.7,5.0,10
gogocode,371,90.0,8.5,13
gpt-ai-assistant,56,100.0,8.0,4
gridstudio,5142,89.3,8.7,11
gulp,5,100.0,11,100
gun,2266,85.3,10.4,100
hackathon-starter,60,84.5,10.3,100
hashlips_art_engine,2,66.7,6.3,10
headless-recorder,15,100.0,9.0
21,undefined
heroicons,7,87.5,8.9,28
homepage,33,84.6,7.0,100
How-To-Ask-Questions-The-Smart-Way,1,100.0,7.0,49
howtheysre,1,100.0,7.4,36
htmx,107519,87.1,10.7,100
hyperapp,10,90.9,10.5,100
I-Still-Dont-Care-About-Cookies,20,87.0,6.8,13
icons,6,100.0,8.5,41
immer,5,83.3,10.2,100
ios_rule_script,141,69.5,5.9,8
iRingo,35,59.3,6.5,11
javascript-algorithms,212,80.0,6.9,100
JavaScript-Course-by-Clever-Programmer-,91,97.8,9.0,1
javascript-interview-questions,11,91.7,6.1,86
JavaScript,464,79.3,5.5,100
jira_clone,38,90.5,11.0,1
js-cookie,8,88.9,10.3,53
json-server,38,95.0,10.7,70
kit,451,92.8,8.3,100
koa,24,92.3,11,100
kodluyoruz-frontend-101-egitimi,1673,84.3,3.7,3
konsta,155,92.3,8.2,13
koodo-reader,4250,84.6,5.8,10
lax.js,78,87.6,8.9
14,undefined
layui,1144,87.9,7.2,44
lazysizes,430,88.3,12.1,45
leetcode-patterns,13,100.0,6.1
25,undefined
leetcode,21,77.8,6.7,76
lenis,265,94.0,6.8,18
leonsans,130,89.7,8.5,2
lexical,413,78.2,7.8,100
lifeRestart,13576,87.3,6.7,31
lighthouse-ci,70,75.3,9.7,100
lighthouse,4980,87.7,10.2,100
lingo3d,8487,73.0,4.0,5
live,1313,86.2,5.5,2
localForage,927,92.1,11.3,95
lossless-cut,104,72.7,6.9,94
lottie-web,15135,88.6,9.2,84
luban-h5,36,81.8,6.8,11
Luckysheet,1533,74.1,6.3,74
macintosh.js,384,11.4,9.4,14
MagicMirror,160,89.4,9.0,100
magnetW,70,90.9,7.0,3
markdown-it,529,82.9,10.9,73
marko,1077,84.6,9.9,100
marktext,1069,88.4,8.5,100
materialize,1204,95.0,10.3,100
material,2014,88.8,10.8,100
matter-js,1723,92.0,11.1,24
mdx-deck,54,91.5,10.2
61,undefined
mdx,51,79.7,9.9,100
mermaid,494,92.7,8.5,100
metrics,1,100.0,6.5,55
microdiff,1,100.0,5.6,7
minter-dapp,3421,88.6,5.0,2
mithril.js,459,90.7,11.1,100
monaco-editor,63,86.3,9.3,100
mostly-adequate-guide,111,91.0,10.4,100
motionity,921,85.2,9.3,3
Motrix,65,81.2,6.7
67,undefined
mpvue,5314,85.5,10.4,100
nanoid,17,94.4,9.6,100
ncc,100,71.9,9.8
56,undefined
ndb,35,89.7,10.7
11,undefined
NeteaseCloudMusicApi,411,87.8,6.9,84
next.js,1362,91.7,9.6,100
nginx-proxy-manager,81,89.0,8.6,100
nginxconfig.io,13,81.2,7.8,48
nightmare,349,86.6,11.4,100
node-elm,1377,88.6,6.5,4
node-express-boilerplate,34,89.5,6.9,17
node-express-course,4859,75.5,5.0,1
node-lessons,264,88.3,9.7,19
node,42589,78.2,10.9,100
normalizr,10,76.9,10.9,55
notion-zh_CN,18,81.8,8.0,2
NotionNext,275,89.6,5.6,40
nprogress,23,85.2,12,33
nylas-mail,1351,58.7,10.9,89
octotree,317,83.6,10.8,65
odoo,14931,84.4,8.1,100
omni,600,85.2,7.2,12
openai-quickstart-node,3,100.0,6.6,8
OpenAPI-Specification,3,100.0,11.4,100
OpenLens,1,100.0,10.3,11
openzeppelin-contracts,106,84.8,8.8,100
PairDrop,224,93.3,7.2,65
PapaParse,442,87.0,11.0,100
parcel,825,87.1,9.8,100
parse-server,477,88.7,10.3,100
particles.js,79,84.9,11.5,13
pell,47,97.9,9.6,5
pipedream,42729,86.5,7.8,100
pkg,314,90.0,9.5,67
plyr,76,90.5,9.7,100
popmotion,157,98.7,10.5,57
portfolio_website,9,81.8,5.0,2
pose-animator,36,81.8,NaN,0
postcat,133,63.0,6.0,10
preact,770,90.4,10.5,100
preguntas-entrevista-react,7,100.0,5.2,38
preline,406,93.8,6.7,9
prettier-plugin-tailwindcss,1,100.0,9.5,22
prettier,646,82.1,10.8,100
project_3D_developer_portfolio,5,100.0,6.0,1
project_syncfusion_dashboard,8,100.0,4.5,2
project_web3.0,3,100.0,5.5,2
pulsar,1261,88.6,11.1,100
QQFlacMusicDownloader,1218,82.0,4.8,6
quasar,955,84.4,8.4,100
quicklink,13,72.2,10.1
35,undefined
react-beautiful-dnd,5,100.0,9.4,100
react-boilerplate,113,86.9,10.6,100
react-developer-roadmap,1,100.0,8.0,15
react-grid-layout,3,100.0,9.6,100
react-helmet,4,100.0,10.8,58
react-loadable,12,100.0,10.1,85
react-motion,21,100.0,11.6,68
react-native-web,230,94.7,10.3,100
react-testing-library,43,97.7,9.8,100
react-virtualized,152,87.9,10.8,100
react-window,78,94.0,10.5,31
reactjs-interview-questions,5,71.4,7.1,91
react,3,100.0,8.4,100
readme-md-generator,26,68.4,8.6,24
readme.so,30,100.0,5.8,55
RealChar,102,95.3,6.3,34
Recoil,7,87.5,9.5,99
redux-saga,626,81.6,10.7,100
ReLaXed,21,65.6,10.4,16
remote-jobs,4,100.0,7.2,100
responsively-app,159,88.3,6.6,78
return-youtube-dislike,14,93.3,5.4,100
revanced-builder,47,79.7,5.1,36
rollup,3225,75.8,10.5,100
RSSHub,4118,96.8,7.1,100
scalene,24,82.8,8.2,40
Script,130,82.3,5.5,26
scrollreveal,162,96.4,10.5,10
semantic-release,24,92.3,9.8,100
serverless,457,84.9,10.7,100
shadowrocket-rules,3,50.0,10.0,2
sharp,686,83.3,10,100
shepherd,88,90.7,10.0,94
slash,3,60.0,4.9,60
slick,166,93.3,11.3,100
snapdrop,21,91.3,7.4,42
snowpack,451,91.9,10.2
100,undefined
social-analyzer,33,86.8,6.2,17
Sortable,829,92.6,10.8,100
spicetify-cli,42,84.0,6.4
83,undefined
spug,244,93.5,6.3,8
stitches,119,79.9,9.7,49
strapi,1678,89.5,8.3,100
style2paints,14316,90.1,9.3,8
superagent,126153,74.0,7.1,21
svelte,841,93.7,9.8,100
SysMocap,536,88.0,9.0,1
tailblocks,176,89.3,6.1,7
techxuexi-js,38,82.6,4.2,9
terminalizer,53,89.8,9.3
8,undefined
tesseract.js,33,84.6,9.3,73
the-super-tiny-compiler,8,88.9,10.4,5
tips,3,100.0,10.0,68
ToolJet,375,87.0,6.0,100
trilium,10098,89.1,8.5,92
trix,152,91.6,12,53
tsdx,8,88.9,10.0
85,undefined
turbo,21,87.5,11.2,92
TwitchAdSolutions,9,81.8,7.5,6
uBlock,2317,86.9,10.1,100
uFuzzy,1323,87.7,9.3,3
umami,201,93.9,8.0,100
UnblockNeteaseMusic,110,93.2,7.8,9
uni-app,27586,87.0,6.4
100,undefined
unlighthouse,3,100.0,7.5,13
uPlot,106,67.9,10.0,38
uppy,254,89.8,10.0,100
uptime-kuma,153,86.9,7.1,100
vanillawebprojects,77,97.5,7.3,19
vant-weapp,204,93.6,7.3,100
van,251,98.0,6.5,10
velocity,939,85.4,11.5,44
vivus,114,87.0,10.6,22
Voyager,206,91.6,8.3,12
vue-admin-template,20,80.0,8.1,11
vue-cli,615,83.2,9.3,100
vue-router,995,91.7,10.0,100
Vue.Draggable,410,94.3,10.3,29
vuepress,159,79.9,9.3,100
vuex,136,93.8,10.0,100
WantWords,21,37.5,6.5,2
WatermelonDB,123,94.6,8.7
100,undefined
Web-Dev-For-Beginners,189,94.5,6.0,100
web-vitals,18,94.7,10.7,23
WebFundamentals,3148,59.4,11.3,100
WebGL-Fluid-Simulation,117,88.6,7.0,1
WebGPT,21,84.0,8.3,7
webpack-dashboard,36,92.3,10.2,49
webtorrent,50,87.7,9.9,100
wechat-app-mall,963,71.5,8.5,24
wechat-bot,0,0.0,5.7,10
WeChatVideoDownloader,7,100.0,8.0,1
wekan,3519,82.1,8.8,100
wepy,805,84.2,8.8,100
whatsapp-web.js,428,88.6,6.6
84,undefined
why-did-you-render,139,91.4,8.7
27,undefined
wifi-card,2,100.0,8.0,44
win11React,21,75.0,3.4,39
win12,145,81.5,2.8,16
winbox,121,90.3,8.3,7
windmill,32,100.0,8.5,46
wouter,47,94.0,9.3,33
x-spreadsheet,1283,74.0,8.3
28,undefined
x-ui,5713,83.3,5.8,5
yapi,29579,90.4,8.1,76
yarn,213,91.0,11.7,100
You-Dont-Need-jQuery,1,100.0,10.1,82
You-Dont-Need-Lodash-Underscore,29,96.7,10.1,100
You-Dont-Need-Momentjs,7,100.0,10.3
37,undefined
zdog,510,93.1,10.2
5,undefined
ZeroNet,4448,90.1,9.3,100
zx,1,33.3,9.4,43
